ota_hotel_id,name,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,date,min_price
bajkalskie_sezonyi,Отель Парк Байкальские сезоны,22,22,42,100.0,2026-03-05,16855.00
gostevoi_dom_margobai,Отель Маргобай,14,28,47,200.0,2026-03-05,1894.00
metelitsa_6,Отель Метелица,5,4,8,80.0,2026-03-05,2392.00
gloria_20,Отель Глория,14,0,0,0.0,2026-03-05,
trakstop_38_2,Trakstop 38,11,1,1,9.09,2026-03-05,9717.00
luna_hotel_9,Отель Луна,22,3,5,13.64,2026-03-05,3300.00
planeta_9,Планета,33,10,20,30.3,2026-03-05,3000.00
mir_baykala_hotel,Отель Мир Байкала,29,1,2,3.45,2026-03-05,15945.00
baikal_capsule_hostel,Байкал Капсул (Байкальская капсула),0,8,8,0.0,2026-03-05,1192.00
tochka_baykala_hotel,Отель Точка Байкала,38,0,0,0.0,2026-03-05,
montana_hostel,Меблированные комнаты Montana,9,11,11,122.22,2026-03-05,900.00
home_hotel_apartments_home_wanted_on_piskunov_street,Апартаменты Home Hotel (Хоум Хотел) на улице Пискунова,0,1,1,0.0,2026-03-05,3488.00
komilfo_2,Отель Комильфо,12,6,6,50.0,2026-03-05,3500.00
na_gornoy_ulitse_5_private_house,Меблированные комнаты на Горной Улице 7Б,0,0,0,0.0,2026-03-05,
izumrud_hotel_7,Отель Изумруд,9,8,8,88.89,2026-03-05,3500.00
loft_house_38_guest_house,Loft House 38,0,0,0,0.0,2026-03-05,
ozerny_tulun_sports_complex_na_karbysheva_185_apartment,Спорткомплекс Озерный Тулун на Карбышева 185,0,2,4,0.0,2026-03-05,3600.00
pekin_hotel,Отель Пекин,86,75,75,87.21,2026-03-05,4950.00
