merged_id,match_type,address_score,name_score,city,name,address,lat,lon,rooms_number,ostrovok_ota_hotel_id,ostrovok_master_id,ostrovok_name,ostrovok_address,ostrovok_url,ostrovok_rooms_number,tvil_hotel_id,tvil_name,tvil_address,tvil_url,tvil_rooms_number
34,address,100,0,Черемхово,Shelest,"улица Марата, д. 109, Черемхово",53.136738,103.07335,8,shelest,8664834,Shelest,"улица Марата, д. 109, Черемхово",https://ostrovok.ru/hotel/russia/irkutsk/mid8664834/shelest,,1851647,"Парк-Отель ""Шелест""","Черемхово, улица Марата, 109",https://tvil.ru/city/cheremhovo/hotels/1851647/,8
35,address,100,62,Иркутск,Гостиничный Комплекс Русь,"улица Свердлова,19, Иркутск",52.28431,104.27926,56,rus_hotel_irkutsk,7774831,Гостиничный Комплекс Русь,"улица Свердлова,19, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid7774831/rus_hotel_irkutsk,56,1296851,"Гостиница ""Русь""","Иркутск, улица Свердлова, 19",https://tvil.ru/city/irkutsk/hotels/1296851/,56
36,address,100,72,Иркутск,Отель Автовокзал,"улица Октябрьской Революции, 11, Иркутск",52.28977,104.304794,22,hotel_gostinitsa_avtovokzal,13754102,Отель Автовокзал,"улица Октябрьской Революции, 11, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid13754102/hotel_gostinitsa_avtovokzal,22,2112642,"Гостиница ""Автовокзал""","Иркутск, улица Октябрьской Революции, 11",https://tvil.ru/city/irkutsk/hotels/2112642/,22
37,address,98,43,Байкальск,Отель Космос,"Гагарина микрорайон, 2а, Байкальск",51.521896,104.15169,16,hotel_kosmos_5,10212636,Отель Космос,"Гагарина микрорайон, 2а, Байкальск",https://ostrovok.ru/hotel/russia/irkutsk/mid10212636/hotel_kosmos_5,16,895518,"Гостиница ""Космос""","Байкальск, микрорайон Гагарина, 2-А",https://tvil.ru/city/baikalsk/hotels/895518/,16
38,name,97,100,Байкальск,Парк-отель Соболинка,"квартал Красный Ключ, д.90, Байкальск",51.513905,104.12188,38,sobolinka_parkhotel_2,9761022,Парк-отель Соболинка,"квартал Красный Ключ, д.90, Байкальск",https://ostrovok.ru/hotel/russia/irkutsk/mid9761022/sobolinka_parkhotel_2,38,1287498,"Парк-отель ""Соболинка""","Байкальск, Россия, Иркутская область, Слюдянский район, Байкальск, квартал Красный Ключ, 90",https://tvil.ru/city/baikalsk/hotels/1287498/,33
39,name,96,100,Бурдугуз,Парк-Отель Бурдугуз,"улица Лесная, д.1, Бурдугуз",52.05705,104.60222,69,burduguz_hotel_2,7829252,Парк-Отель Бурдугуз,"улица Лесная, д.1, Бурдугуз",https://ostrovok.ru/hotel/russia/irkutsk/mid7829252/burduguz_hotel_2,69,1276636,"Парк-отель ""Бурдугуз""","Иркутск, Большереченское муниципальное образование, посёлок Бурдугуз, Лесная улица, 1",https://tvil.ru/city/irkutsk/hotels/1276636/,69
40,name,95,100,Листвянка,Отель Подлеморье,"улица Горького, д.31Б, Листвянка",51.854576,104.862686,14,podlemorie_hotel,7679750,Отель Подлеморье,"улица Горького, д.31Б, Листвянка",https://ostrovok.ru/hotel/russia/irkutsk/mid7679750/podlemorie_hotel,14,1892012,"Отель ""Подлеморье""","Листвянка, улица Горького, 31",https://tvil.ru/city/listvyanka/hotels/1892012/,14
41,name,95,100,Иркутск,Отель Лотос,"Байкальская улица, д.14 Б, Иркутск",52.278976,104.29911,23,lotos_hotel,7744038,Отель Лотос,"Байкальская улица, д.14 Б, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid7744038/lotos_hotel,23,946962,"Отель ""Лотос""","Иркутск, Байкальская улица, 14Б",https://tvil.ru/city/irkutsk/hotels/946962/,21
42,name,95,100,Иркутск,Отель Звезда,"улица Ядринцева, д. 1Ж, Иркутск",52.277885,104.33643,65,best_eastern_hotel_zvezda,7806155,Отель Звезда,"улица Ядринцева, д. 1Ж, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid7806155/best_eastern_hotel_zvezda,65,425543,"Отель ""Звезда""","Иркутск, улица Ядринцева, 1-Ж",https://tvil.ru/city/irkutsk/hotels/425543/,64
43,name,94,100,Братск,Отель Белый берег,"ул. Курчатова 65, Братск, Братск",56.157047,101.66097,5,bely_bereg,10844916,Отель Белый берег,"ул. Курчатова 65, Братск, Братск",https://ostrovok.ru/hotel/russia/irkutsk/mid10844916/bely_bereg,5,1785783,"Отель ""Белый Берег""","Братск, улица Курчатова, 65",https://tvil.ru/city/bratsk/hotels/1785783/,5
