ota_hotel_id,master_id,name,name_en,city,address,latitude,longitude,url,rooms_number,first_seen_date,last_seen_date
city_park_hotel_13,9987117,Меблированные комнаты City Park,City Park Living quarters,Иркутск,"улица Красных Мадьяр, 29, Иркутск",52.273567,104.30006,https://ostrovok.ru/hotel/russia/irkutsk/mid9987117/city_park_hotel_13,,2026-03-17,2026-09-10
hotel_khotej,13330760,Отель Хотэй,Khotej Hotel,Хужир,"Ольхонская улица, 10, Хужир",53.194584,107.36046,https://ostrovok.ru/hotel/russia/irkutsk/mid13330760/hotel_khotej,25,2026-03-17,2026-09-10
mayak_hotel_listvyanka,7816262,Отель Маяк,Mayak Hotel,Листвянка,"улица Горького, дом 85а, Листвянка",51.847157,104.873566,https://ostrovok.ru/hotel/russia/irkutsk/mid7816262/mayak_hotel_listvyanka,54,2026-03-17,2026-09-10
grand_baikal,8481257,Отель Гранд Байкал,Grand Bajkal Hotel,Байкальск,"мкр. Красный Ключ, 91, Байкальск",51.509495,104.120804,https://ostrovok.ru/hotel/russia/irkutsk/mid8481257/grand_baikal,64,2026-03-17,2026-09-10
baikal_forest_hotel,9825031,Отель Форест,Forest Hotel,Иркутск,"улица Советская, д.58/1, Иркутск",52.275658,104.30523,https://ostrovok.ru/hotel/russia/irkutsk/mid9825031/baikal_forest_hotel,156,2026-03-17,2026-09-08
hotel_soyuz_2,8662950,Жилое помещение Союз,Living Quarters Soyuz,Иркутск,"проезд Юрия Тена, д.12/4, Иркутск",52.252377,104.256676,https://ostrovok.ru/hotel/russia/irkutsk/mid8662950/hotel_soyuz_2,84,2026-03-17,2026-09-10
dom_baykal_guest_house,10151922,Меблированные комнаты Дом Байкал,Dom Baikal,Иркутск,"улица Лапина, д. 14, Иркутск",52.27905,104.286156,https://ostrovok.ru/hotel/russia/irkutsk/mid10151922/dom_baykal_guest_house,15,2026-03-17,2026-09-10
baykal_guest_house_3,13308043,Меблированные комнаты Байкал,Baykal Lodging house,Листвянка,"улица Горная, д. 8А, Листвянка",51.857647,104.859604,https://ostrovok.ru/hotel/russia/irkutsk/mid13308043/baykal_guest_house_3,,2026-03-17,2026-09-10
miniotel_serdtse_baykala,11310800,Сердце Байкала,Serdtse Baykala,Листвянка,"улица Островского, 39, Листвянка",51.862244,104.869156,https://ostrovok.ru/hotel/russia/irkutsk/mid11310800/miniotel_serdtse_baykala,,2026-03-17,2026-09-10
montana_hostel,8746907,Меблированные комнаты Montana,Montana Living quarters,Иркутск,"улица Карла Либкнехта, д.6, Иркутск",52.28775,104.293526,https://ostrovok.ru/hotel/russia/irkutsk/mid8746907/montana_hostel,22,2026-03-17,2026-09-10
