merged_id,city,name,address,ostrovok_rooms_number,tvil_rooms_number,ostrovok_free_rooms,tvil_free_rooms,min_free_rooms,avg_free_rooms,max_free_rooms,ostrovok_free_rooms_pct,tvil_free_rooms_pct,avg_free_rooms_pct,ostrovok_occupancy_pct,tvil_occupancy_pct,avg_occupancy_pct,ostrovok_capacity,tvil_capacity,avg_capacity
69,Иркутск,Меблированные комнаты City Park,"улица Красных Мадьяр, 29, Иркутск",,,2,,2,2.00,2,0,,0.00,100.0,,100.00,2,,2.00
70,Хужир,Отель Хотэй,"Ольхонская улица, 10, Хужир",25,,,,,,,,,,,,,,,
71,Иркутск,Жилое помещение Союз,"проезд Юрия Тена, д.12/4, Иркутск",84,,55,,55,55.00,55,65,,65.48,34.519999999999996,,34.52,110,,110.00
72,Иркутск,Меблированные комнаты Дом Байкал,"улица Лапина, д. 14, Иркутск",15,,10,,10,10.00,10,66,,66.67,33.33,,33.33,26,,26.00
73,Листвянка,Меблированные комнаты Байкал,"улица Горная, д. 8А, Листвянка",,,9,,9,9.00,9,0,,0.00,100.0,,100.00,15,,15.00
74,Листвянка,Сердце Байкала,"улица Островского, 39, Листвянка",,,5,,5,5.00,5,0,,0.00,100.0,,100.00,8,,8.00
75,Иркутск,Меблированные комнаты Montana,"улица Карла Либкнехта, д.6, Иркутск",9,,15,,15,15.00,15,166,,166.67,-66.66999999999999,,-66.67,17,,17.00
76,Большое Голоустное,Меблированные комнаты Медведица,"улица Кирова,д. 132а, Большое Голоустное",,,9,,9,9.00,9,0,,0.00,100.0,,100.00,17,,17.00
77,Хужир,Отель Гостиница ЛАДА,"улица Таёжная, д.30, Хужир",22,,14,,14,14.00,14,63,,63.64,36.36,,36.36,24,,24.00
78,Хужир,Загородный отель Шамбала,"ул Северная, з/у 12А, Хужир",10,,4,,4,4.00,4,40,,40.00,60.0,,60.00,8,,8.00
79,Листвянка,Отель Ларч,"ул. Гудина, 22А, Листвянка",18,,6,,6,6.00,6,33,,33.33,66.67,,66.67,13,,13.00
80,Хужир,Меблированные комнаты Баргузин,"улица Ворошилова, д.23А, Хужир",,,2,,2,2.00,2,0,,0.00,100.0,,100.00,2,,2.00
81,Иркутск,Отель Централь,"переулок Богданова 8, Иркутск",48,,40,,40,40.00,40,83,,83.33,16.67,,16.67,80,,80.00
82,Листвянка,Байкальские просторы,"улица Чапаева, д. 41, Листвянка",8,,2,,2,2.00,2,25,,25.00,75.0,,75.00,5,,5.00
83,Листвянка,Отель Легенда Байкала,"Улица Исток Ангары, д.11, Листвянка",35,,20,,20,20.00,20,57,,57.14,42.86,,42.86,36,,36.00
84,Иркутск,Отель Baikal Archi Apt,"ул Некрасова, стр. 3а, помещ. 2, Иркутск",7,,3,,3,3.00,3,42,,42.86,57.14,,57.14,6,,6.00
85,Листвянка,Меблированные комнаты Лесс,"улица Куликова, д. 102а, Листвянка",,,6,,6,6.00,6,0,,0.00,100.0,,100.00,12,,12.00
86,Иркутск,Гостиница Визит,"ул Софьи Перовской, стр. 30, помещ. 4, Иркутск",8,,6,,6,6.00,6,75,,75.00,25.0,,25.00,12,,12.00
87,Листвянка,Курортный отель Парус,"улица Горького, д.93А, Листвянка",17,,11,,11,11.00,11,64,,64.71,35.290000000000006,,35.29,25,,25.00
88,Листвянка,Малиновка,"улица Суворова, д. 5а, Листвянка",,,5,,5,5.00,5,0,,0.00,100.0,,100.00,15,,15.00
89,Иркутск,Отель RODINA Grand Hotel & SPA Irkutsk 5*,"ул. Николая Гаврилова, стр. 2, Иркутск",79,,42,,42,42.00,42,53,,53.16,46.84,,46.84,84,,84.00
90,Иркутск,Отель Иркутск Сити Лодж,"ул Байкальская, д. 124/3, Иркутск",4,,,,,,,,,,,,,,,
91,Иркутск,Отель Веста,"улица Сурнова, д.30/1, Иркутск",27,,3,,3,3.00,3,11,,11.11,88.89,,88.89,7,,7.00
92,Листвянка,Алания,"улица Суворова, д.5В, Листвянка",,,12,,12,12.00,12,0,,0.00,100.0,,100.00,33,,33.00
93,Иркутск,Отель Рояль,"улица Декабрьских событий, д. 31, Иркутск",27,,20,,20,20.00,20,74,,74.07,25.930000000000007,,25.93,36,,36.00
94,Хужир,Конкордия,"улица Народная, д.15, поселок Хужир, Хужир",8,,4,,4,4.00,4,50,,50.00,50.0,,50.00,6,,6.00
95,Байкальск,Парк-отель Белый Соболь,"мкрн. Красный Ключ, д.93, Байкальск",32,,14,,14,14.00,14,43,,43.75,56.25,,56.25,36,,36.00
96,Иркутск,Отель В Сердце Иркутска,"Киевская улица, д.34А, Иркутск",6,,2,,2,2.00,2,33,,33.33,66.67,,66.67,4,,4.00
97,Листвянка,Гостиница Крестовая падь,"ул. Горная, 14-А, Листвянка",27,,6,,6,6.00,6,22,,22.22,77.78,,77.78,12,,12.00
98,Бугульдейка,Байкал-кэмп,"Россия, Иркутская область,  Бугульдейка, ул. Пушкина, д. 15, Бугульдейка",,,1,,1,1.00,1,0,,0.00,100.0,,100.00,4,,4.00
99,Иркутск,Отель Динамо,"улица Баррикад, д.42, Иркутск",39,,,,,,,,,,,,,,,
100,Листвянка,Меблированные комнаты Ёлочка,"улица Чапаева, д.8, Листвянка",6,,9,,9,9.00,9,150,,150.00,-50.0,,-50.00,18,,18.00
101,Листвянка,Отель Созвездие Байкала,"Улица Партизанская, д.14, Листвянка",22,,11,,11,11.00,11,50,,50.00,50.0,,50.00,22,,22.00
102,Листвянка,Меблированные комнаты БРИЗ,"улица Гудина,71, Листвянка",16,,4,,4,4.00,4,25,,25.00,75.0,,75.00,9,,9.00
103,Листвянка,Байкал Шале,"улица Гудина, д.75, Листвянка",11,,1,,1,1.00,1,9,,9.09,90.91,,90.91,3,,3.00
104,Байкальск,Baikal Best Edelweiss,"микрорайон Красный ключ, д.66, Байкальск",10,,2,,2,2.00,2,20,,20.00,80.0,,80.00,4,,4.00
105,Иркутск,Грин Отель,"улица Лыткина, д. 32, Иркутск",22,,6,,6,6.00,6,27,,27.27,72.73,,72.73,13,,13.00
106,Листвянка,Байкал 51,"Иркутский муниципальный округ, Байкальский тракт, 51-й километр, 3, Листвянка",,,1,,1,1.00,1,0,,0.00,100.0,,100.00,1,,1.00
107,Тулун,Спорткомплекс Озерный Тулун на Карбышева 185,"улица Карбышева, д.185, Тулун",,,2,,2,2.00,2,0,,0.00,100.0,,100.00,4,,4.00
108,Иркутск,Меблированные комнаты Брусника,"Улица Гоголя, д.61, Иркутск",3,,2,,2,2.00,2,66,,66.67,33.33,,33.33,4,,4.00
109,Нижнеудинск,Отель УДА,"улица Ленина, д.1, Нижнеудинск",45,,35,,35,35.00,35,77,,77.78,22.22,,22.22,55,,55.00
110,Жигалово,Отель  Ленатур,"улица Советская, д.26, Жигалово",8,,5,,5,5.00,5,62,,62.50,37.5,,37.50,12,,12.00
