merged_id,city,name,address,ostrovok_rooms_number,tvil_rooms_number,ostrovok_free_rooms,tvil_free_rooms,min_free_rooms,avg_free_rooms,max_free_rooms,ostrovok_free_rooms_pct,tvil_free_rooms_pct,ostrovok_occupancy_pct,tvil_occupancy_pct,avg_occupancy_pct,ostrovok_capacity,tvil_capacity,avg_capacity
53,Иркутск,Мини-Отель Good Hotel,"ул Сибирская, стр. 21/2, помещ. 1, Иркутск",6,,6,,6,6.00,6,100,,0.0,,0.00,13,,13.00
54,Хужир,Sunrise,"Первомайская улица, 25А, Хужир",,,4,,4,4.00,4,0,,100.0,,100.00,10,,10.00
55,Иркутск,AZIMUT Отель Аэропорт Иркутск 4*,"ул. Ширямова, 10А, Иркутск",100,,68,,68,68.00,68,68,,32.0,,32.00,139,,139.00
56,Листвянка,Отель Байкал,"Академическая улица, 13, Листвянка",72,,25,,25,25.00,25,34,,65.28,,65.28,50,,50.00
57,Иркутск,Премиум-отель Пушкин,"ул. Сухэ-Батора, 18, Иркутск",46,,38,,38,38.00,38,82,,17.39,,17.39,76,,76.00
58,Иркутск,Отель Business Hall,"улица Свердлова, д.10, Иркутск",18,,13,,13,13.00,13,72,,27.78,,27.78,24,,24.00
59,Листвянка,Байкалия,"Горная улица, 15, Листвянка",,,5,,5,5.00,5,0,,100.0,,100.00,15,,15.00
60,Никола,Отель Никола,"Иркутская область, Листвянка, Байкальский тракт 64-й км, поселок Никола, улица Ангарская, д. 15, Никола",27,,42,,42,42.00,42,155,,-55.56,,-55.56,86,,86.00
61,Иркутск,SAYEN,"ул. Карла Маркса, 13Б, Иркутск",25,,17,,17,17.00,17,68,,32.0,,32.00,36,,36.00
62,Иркутск,Отель Гостевой Дом Хейвица,"улица Дзержинского, д. 44, Иркутск",8,,4,,4,4.00,4,50,,50.0,,50.00,7,,7.00
63,Иркутск,Меблированные комнаты в Иркутске,"переулок Алексеева, д.2А, Иркутск",,,3,,3,3.00,3,0,,100.0,,100.00,6,,6.00
64,Иркутск,Отель ДиаДэй,"улица Профсоюзная, д. 10/2, Иркутск",9,,5,,5,5.00,5,55,,44.44,,44.44,12,,12.00
65,Усть-Илимск,Усть-Илим,"пр-т Дружбы Народов, д. 2, Усть-Илимск",80,,40,,40,40.00,40,50,,50.0,,50.00,44,,44.00
66,Иркутск,Отель Арена Иркутск,"ул. Желябова, 8А, Иркутск",15,,17,,17,17.00,17,113,,-13.329999999999998,,-13.33,33,,33.00
67,Байкальск,Отель Куршавель,"микрорайон Южный, 1-й квартал, д.6, Байкальск",15,,12,,12,12.00,12,80,,20.0,,20.00,25,,25.00
68,Листвянка,Отель Ундина,"Ulitsa Kulikova,6, Листвянка",30,,0,,0,0.00,0,0,,100.0,,100.00,0,,0.00
69,Иркутск,Меблированные комнаты City Park,"улица Красных Мадьяр, 29, Иркутск",,,8,,8,8.00,8,0,,100.0,,100.00,8,,8.00
70,Хужир,Отель Хотэй,"Ольхонская улица, 10, Хужир",25,,0,,0,0.00,0,0,,100.0,,100.00,0,,0.00
71,Иркутск,Жилое помещение Союз,"проезд Юрия Тена, д.12/4, Иркутск",84,,74,,74,74.00,74,88,,11.900000000000006,,11.90,148,,148.00
72,Иркутск,Меблированные комнаты Дом Байкал,"улица Лапина, д. 14, Иркутск",15,,16,,16,16.00,16,106,,-6.670000000000002,,-6.67,48,,48.00
73,Листвянка,Меблированные комнаты Байкал,"улица Горная, д. 8А, Листвянка",,,14,,14,14.00,14,0,,100.0,,100.00,17,,17.00
74,Листвянка,Сердце Байкала,"улица Островского, 39, Листвянка",,,4,,4,4.00,4,0,,100.0,,100.00,6,,6.00
75,Иркутск,Меблированные комнаты Montana,"улица Карла Либкнехта, д.6, Иркутск",9,,11,,11,11.00,11,122,,-22.22,,-22.22,12,,12.00
76,Большое Голоустное,Меблированные комнаты Медведица,"улица Кирова,д. 132а, Большое Голоустное",,,7,,7,7.00,7,0,,100.0,,100.00,13,,13.00
77,Хужир,Отель Гостиница ЛАДА,"улица Таёжная, д.30, Хужир",22,,0,,0,0.00,0,0,,100.0,,100.00,0,,0.00
78,Хужир,Загородный отель Шамбала,"ул Северная, з/у 12А, Хужир",10,,10,,10,10.00,10,100,,0.0,,0.00,20,,20.00
79,Листвянка,Отель Ларч,"ул. Гудина, 22А, Листвянка",18,,13,,13,13.00,13,72,,27.78,,27.78,30,,30.00
80,Хужир,Меблированные комнаты Баргузин,"улица Ворошилова, д.23А, Хужир",,,4,,4,4.00,4,0,,100.0,,100.00,4,,4.00
81,Иркутск,Отель Централь,"переулок Богданова 8, Иркутск",48,,32,,32,32.00,32,66,,33.33,,33.33,64,,64.00
82,Листвянка,Байкальские просторы,"улица Чапаева, д. 41, Листвянка",8,,7,,7,7.00,7,87,,12.5,,12.50,16,,16.00
83,Листвянка,Отель Легенда Байкала,"Улица Исток Ангары, д.11, Листвянка",35,,16,,16,16.00,16,45,,54.29,,54.29,30,,30.00
84,Иркутск,Отель Baikal Archi Apt,"ул Некрасова, стр. 3а, помещ. 2, Иркутск",7,,6,,6,6.00,6,85,,14.290000000000006,,14.29,13,,13.00
85,Листвянка,Меблированные комнаты Лесс,"улица Куликова, д. 102а, Листвянка",,,7,,7,7.00,7,0,,100.0,,100.00,13,,13.00
86,Иркутск,Гостиница Визит,"ул Софьи Перовской, стр. 30, помещ. 4, Иркутск",8,,5,,5,5.00,5,62,,37.5,,37.50,11,,11.00
87,Листвянка,Курортный отель Парус,"улица Горького, д.93А, Листвянка",17,,0,,0,0.00,0,0,,100.0,,100.00,0,,0.00
